desired_x, desired_y, desired_yaw, current_x, current_y, current_yaw
-0.99956,2.15756e-05,0.000125494,-0.999997,2.15917e-05,0.000134427
-0.99699,2.11457e-05,4.40044e-05,-0.999997,2.15917e-05,0.000134427
-0.992609,1.96413e-05,-0.000197086,-0.999997,2.15917e-05,0.000134427
-0.98652,1.64787e-05,-0.000661591,-0.999997,2.15917e-05,0.000134427
-0.978825,1.10738e-05,-0.00126933,-0.999997,2.15917e-05,0.000134427
-0.969627,2.8428e-06,-0.00188437,-0.999997,2.15917e-05,0.000134427
-0.959028,-8.79825e-06,-0.00238322,-0.999997,2.15917e-05,0.000134427
-0.947128,-2.4432e-05,-0.00271879,-0.999997,2.15917e-05,0.000134427
-0.934012,-4.46358e-05,-0.00287258,-0.999997,2.15917e-05,0.000134427
-0.91976,-6.99859e-05,-0.00283193,-0.999997,2.15917e-05,0.000134427
-0.904455,-0.000101058,-0.00261808,-0.999997,2.15917e-05,0.000134427
-0.997273,2.1024e-05,1.13964e-05,-0.998,2.18983e-05,0.000128384
-0.992791,1.69886e-05,-0.00057843,-0.998,2.18983e-05,0.000128384
-0.98647,5.25331e-06,-0.00211621,-0.998,2.18983e-05,0.000128384
-0.978397,-1.84126e-05,-0.00495165,-0.998,2.18983e-05,0.000128384
-0.968661,-5.82399e-05,-0.00867229,-0.998,2.18983e-05,0.000128384
-0.957349,-0.000118459,-0.0125751,-0.998,2.18983e-05,0.000128384
-0.944549,-0.000203301,-0.016032,-0.998,2.18983e-05,0.000128384
-0.930348,-0.000316619,-0.0188316,-0.998,2.18983e-05,0.000128384
-0.914824,-0.000460578,-0.020905,-0.998,2.18983e-05,0.000128384
-0.898051,-0.00063687,-0.0222213,-0.998,2.18983e-05,0.000128384
-0.880107,-0.000847187,-0.0229357,-0.998,2.18983e-05,0.000128384
-0.992279,1.49831e-05,-0.000564731,-0.993948,2.22628e-05,-1.11321e-05
-0.985923,3.01277e-06,-0.00196641,-0.993948,2.22628e-05,-1.11321e-05
-0.977798,-2.11481e-05,-0.00451791,-0.993948,2.22628e-05,-1.11321e-05
-0.967985,-6.18719e-05,-0.00843788,-0.993948,2.22628e-05,-1.11321e-05
-0.956563,-0.000123531,-0.0132548,-0.993948,2.22628e-05,-1.11321e-05
-0.943609,-0.000210498,-0.0182196,-0.993948,2.22628e-05,-1.11321e-05
-0.929205,-0.000327145,-0.0226578,-0.993948,2.22628e-05,-1.11321e-05
-0.91343,-0.000477568,-0.0263598,-0.993948,2.22628e-05,-1.11321e-05
-0.89637,-0.000664672,-0.0292936,-0.993948,2.22628e-05,-1.11321e-05
-0.878112,-0.000891035,-0.0314575,-0.993948,2.22628e-05,-1.11321e-05
-0.858742,-0.00115924,-0.033025,-0.993948,2.22628e-05,-1.11321e-05
-0.984623,-4.09036e-07,-0.00192736,-0.982936,1.57631e-05,-0.00120853
-0.976347,-1.40057e-05,-0.00289896,-0.982936,1.57631e-05,-0.00120853
-0.966431,-2.21929e-05,-0.00220848,-0.982936,1.57631e-05,-0.00120853
-0.954978,-1.75305e-05,0.00117732,-0.982936,1.57631e-05,-0.00120853
-0.942091,7.42155e-06,0.00659525,-0.982936,1.57631e-05,-0.00120853
-0.927871,6.01033e-05,0.0128146,-0.982936,1.57631e-05,-0.00120853
-0.912421,0.000147949,0.0187261,-0.982936,1.57631e-05,-0.00120853
-0.895837,0.000276803,0.023852,-0.982936,1.57631e-05,-0.00120853
-0.878201,0.000448843,0.0279184,-0.982936,1.57631e-05,-0.00120853
-0.859593,0.000665725,0.0307299,-0.982936,1.57631e-05,-0.00120853
-0.840092,0.000929107,0.0324822,-0.982936,1.57631e-05,-0.00120853
-0.976981,-1.31437e-05,-0.00286939,-0.973164,2.10272e-06,-0.00101699
-0.967176,-2.19517e-05,-0.00233916,-0.973164,2.10272e-06,-0.00101699
-0.955828,-1.84309e-05,0.000859891,-0.973164,2.10272e-06,-0.00101699
-0.943037,4.85868e-06,0.00617561,-0.973164,2.10272e-06,-0.00101699
-0.928907,5.53572e-05,0.0123789,-0.973164,2.10272e-06,-0.00101699
-0.91354,0.000140503,0.0183347,-0.973164,2.10272e-06,-0.00101699
-0.897033,0.000266397,0.0235244,-0.973164,2.10272e-06,-0.00101699
-0.879468,0.00043536,0.0276739,-0.973164,2.10272e-06,-0.00101699
-0.860925,0.000649049,0.0305713,-0.973164,2.10272e-06,-0.00101699
-0.841484,0.000909122,0.0323873,-0.973164,2.10272e-06,-0.00101699
-0.821225,0.00121724,0.0334395,-0.973164,2.10272e-06,-0.00101699
-0.967176,-2.19517e-05,-0.00233916,-0.962878,-3.07115e-06,0.000150607
-0.955828,-1.84309e-05,0.000859891,-0.962878,-3.07115e-06,0.000150607
-0.943037,4.85868e-06,0.00617561,-0.962878,-3.07115e-06,0.000150607
-0.928907,5.53572e-05,0.0123789,-0.962878,-3.07115e-06,0.000150607
-0.91354,0.000140503,0.0183347,-0.962878,-3.07115e-06,0.000150607
-0.897033,0.000266397,0.0235244,-0.962878,-3.07115e-06,0.000150607
-0.879468,0.00043536,0.0276739,-0.962878,-3.07115e-06,0.000150607
-0.860925,0.000649049,0.0305713,-0.962878,-3.07115e-06,0.000150607
-0.841484,0.000909122,0.0323873,-0.962878,-3.07115e-06,0.000150607
-0.821225,0.00121724,0.0334395,-0.962878,-3.07115e-06,0.000150607
-0.800226,0.00157505,0.0340305,-0.962878,-3.07115e-06,0.000150607
-0.955949,-1.85516e-05,0.000815382,-0.952216,-1.01688e-06,0.000243836
-0.943172,4.50349e-06,0.00611601,-0.952216,-1.01688e-06,0.000243836
-0.929055,5.46931e-05,0.0123165,-0.952216,-1.01688e-06,0.000243836
-0.9137,0.000139456,0.0182784,-0.952216,-1.01688e-06,0.000243836
-0.897203,0.000264928,0.0234772,-0.952216,-1.01688e-06,0.000243836
-0.879649,0.000433451,0.0276385,-0.952216,-1.01688e-06,0.000243836
-0.861115,0.000646685,0.0305482,-0.952216,-1.01688e-06,0.000243836
-0.841683,0.000906286,0.0323735,-0.952216,-1.01688e-06,0.000243836
-0.821431,0.00121391,0.0334317,-0.952216,-1.01688e-06,0.000243836
-0.80044,0.00157122,0.0340261,-0.952216,-1.01688e-06,0.000243836
-0.778788,0.00197984,0.0343715,-0.952216,-1.01688e-06,0.000243836
-0.943172,4.50349e-06,0.00611601,-0.944843,2.20454e-06,0.000263729
-0.929055,5.46931e-05,0.0123165,-0.944843,2.20454e-06,0.000263729
-0.9137,0.000139456,0.0182784,-0.944843,2.20454e-06,0.000263729
-0.897203,0.000264928,0.0234772,-0.944843,2.20454e-06,0.000263729
-0.879649,0.000433451,0.0276385,-0.944843,2.20454e-06,0.000263729
-0.861115,0.000646685,0.0305482,-0.944843,2.20454e-06,0.000263729
-0.841683,0.000906286,0.0323735,-0.944843,2.20454e-06,0.000263729
-0.821431,0.00121391,0.0334317,-0.944843,2.20454e-06,0.000263729
-0.80044,0.00157122,0.0340261,-0.944843,2.20454e-06,0.000263729
-0.778788,0.00197984,0.0343715,-0.944843,2.20454e-06,0.000263729
-0.756548,0.00243997,0.0346491,-0.944843,2.20454e-06,0.000263729
-0.928907,5.53572e-05,0.0123789,-0.927768,1.14817e-05,0.00032101
-0.91354,0.000140503,0.0183347,-0.927768,1.14817e-05,0.00032101
-0.897033,0.000266397,0.0235244,-0.927768,1.14817e-05,0.00032101
-0.879468,0.00043536,0.0276739,-0.927768,1.14817e-05,0.00032101
-0.860925,0.000649049,0.0305713,-0.927768,1.14817e-05,0.00032101
-0.841484,0.000909122,0.0323873,-0.927768,1.14817e-05,0.00032101
-0.821225,0.00121724,0.0334395,-0.927768,1.14817e-05,0.00032101
-0.800226,0.00157505,0.0340305,-0.927768,1.14817e-05,0.00032101
-0.778569,0.00198419,0.0343743,-0.927768,1.14817e-05,0.00032101
-0.756323,0.00244483,0.0346522,-0.927768,1.14817e-05,0.00032101
-0.733549,0.00295539,0.035022,-0.927768,1.14817e-05,0.00032101
-0.9137,0.000139456,0.0182784,-0.916945,2.02556e-05,0.00154316
-0.897203,0.000264928,0.0234772,-0.916945,2.02556e-05,0.00154316
-0.879649,0.000433451,0.0276385,-0.916945,2.02556e-05,0.00154316
-0.861115,0.000646685,0.0305482,-0.916945,2.02556e-05,0.00154316
-0.841683,0.000906286,0.0323735,-0.916945,2.02556e-05,0.00154316
-0.821431,0.00121391,0.0334317,-0.916945,2.02556e-05,0.00154316
-0.80044,0.00157122,0.0340261,-0.916945,2.02556e-05,0.00154316
-0.778788,0.00197984,0.0343715,-0.916945,2.02556e-05,0.00154316
-0.756548,0.00243997,0.0346491,-0.916945,2.02556e-05,0.00154316
-0.733779,0.00295004,0.0350177,-0.916945,2.02556e-05,0.00154316
-0.71054,0.00350833,0.0355019,-0.916945,2.02556e-05,0.00154316
-0.897203,0.000264928,0.0234772,-0.900301,6.37448e-05,0.00324404
-0.879649,0.000433451,0.0276385,-0.900301,6.37448e-05,0.00324404
-0.861115,0.000646685,0.0305482,-0.900301,6.37448e-05,0.00324404
-0.841683,0.000906286,0.0323735,-0.900301,6.37448e-05,0.00324404
-0.821431,0.00121391,0.0334317,-0.900301,6.37448e-05,0.00324404
-0.80044,0.00157122,0.0340261,-0.900301,6.37448e-05,0.00324404
-0.778788,0.00197984,0.0343715,-0.900301,6.37448e-05,0.00324404
-0.756548,0.00243997,0.0346491,-0.900301,6.37448e-05,0.00324404
