desired_x, desired_y, desired_yaw, current_x, current_y, current_yaw
-1.99957,1.00002,0.000133373,-2,1.00002,0.000135036
-1.99699,1.00002,0.000119593,-2,1.00002,0.000135036
-1.99254,1.00002,7.85814e-05,-2,1.00002,0.000135036
-1.98628,1.00002,-3.94837e-07,-2,1.00002,0.000135036
-1.97829,1.00002,-0.00010163,-2,1.00002,0.000135036
-1.96864,1.00001,-0.000199033,-2,1.00002,0.000135036
-1.95739,1.00001,-0.000269273,-2,1.00002,0.000135036
-1.94462,0.999997,-0.000305907,-2,1.00002,0.000135036
-1.9304,0.999987,-0.000308817,-2,1.00002,0.000135036
-1.91482,0.999975,-0.000278992,-2,1.00002,0.000135036
-1.89795,0.999962,-0.000223727,-2,1.00002,0.000135036
-1.99729,1.00002,0.00012115,-1.99799,1.00002,0.000137207
-1.9928,1.00002,9.16379e-05,-1.99799,1.00002,0.000137207
-1.98645,1.00003,4.20584e-05,-1.99799,1.00002,0.000137207
-1.97833,1.00004,-3.06696e-05,-1.99799,1.00002,0.000137207
-1.96851,1.00005,-0.000131001,-1.99799,1.00002,0.000137207
-1.95706,1.00008,-0.000263933,-1.99799,1.00002,0.000137207
-1.94407,1.00011,-0.000432302,-1.99799,1.00002,0.000137207
-1.92961,1.00015,-0.000626501,-1.99799,1.00002,0.000137207
-1.91377,1.0002,-0.000832474,-1.99799,1.00002,0.000137207
-1.89663,1.00026,-0.00103633,-1.99799,1.00002,0.000137207
-1.87828,1.00031,-0.00122506,-1.99799,1.00002,0.000137207
-1.99296,1.00002,9.30624e-05,-1.99138,1.00002,0.000128346
-1.98651,1.00002,6.13092e-05,-1.99138,1.00002,0.000128346
-1.97821,1.00002,4.25628e-05,-1.99138,1.00002,0.000128346
-1.96814,1.00003,5.06939e-05,-1.99138,1.00002,0.000128346
-1.95638,1.00003,8.0707e-05,-1.99138,1.00002,0.000128346
-1.94303,1.00003,0.00012035,-1.99138,1.00002,0.000128346
-1.92815,1.00003,0.000158354,-1.99138,1.00002,0.000128346
-1.91184,1.00004,0.000189043,-1.99138,1.00002,0.000128346
-1.89418,1.00004,0.000208693,-1.99138,1.00002,0.000128346
-1.87527,1.00005,0.000214457,-1.99138,1.00002,0.000128346
-1.85519,1.00005,0.000207931,-1.99138,1.00002,0.000128346
-1.98584,1.00002,6.06594e-05,-1.98608,1.00002,0.000120669
-1.97753,1.00002,3.20256e-05,-1.98608,1.00002,0.000120669
-1.96748,1.00003,1.34883e-05,-1.98608,1.00002,0.000120669
-1.95578,1.00003,1.00047e-05,-1.98608,1.00002,0.000120669
-1.94254,1.00003,1.92081e-05,-1.98608,1.00002,0.000120669
-1.92785,1.00003,3.55582e-05,-1.98608,1.00002,0.000120669
-1.91181,1.00003,5.38369e-05,-1.98608,1.00002,0.000120669
-1.89451,1.00003,7.11167e-05,-1.98608,1.00002,0.000120669
-1.87604,1.00003,8.54291e-05,-1.98608,1.00002,0.000120669
-1.85645,1.00003,9.51049e-05,-1.98608,1.00002,0.000120669
-1.83585,1.00004,0.000100424,-1.98608,1.00002,0.000120669
-1.97734,1.00002,3.15359e-05,-1.97353,1.00002,0.000125374
-1.96726,1.00003,1.32616e-05,-1.97353,1.00002,0.000125374
-1.95553,1.00003,1.00828e-05,-1.97353,1.00002,0.000125374
-1.94226,1.00003,1.94835e-05,-1.97353,1.00002,0.000125374
-1.92755,1.00003,3.592e-05,-1.97353,1.00002,0.000125374
-1.91148,1.00003,5.41989e-05,-1.97353,1.00002,0.000125374
-1.89416,1.00003,7.14386e-05,-1.97353,1.00002,0.000125374
-1.87566,1.00003,8.56716e-05,-1.97353,1.00002,0.000125374
-1.85605,1.00003,9.52505e-05,-1.97353,1.00002,0.000125374
-1.83542,1.00004,0.000100493,-1.97353,1.00002,0.000125374
-1.81385,1.00004,0.000102468,-1.97353,1.00002,0.000125374
-1.96737,1.00003,1.33742e-05,-1.96623,1.00003,0.000123637
-1.95566,1.00003,1.00431e-05,-1.96623,1.00003,0.000123637
-1.9424,1.00003,1.93454e-05,-1.96623,1.00003,0.000123637
-1.9277,1.00003,3.5739e-05,-1.96623,1.00003,0.000123637
-1.91165,1.00003,5.4018e-05,-1.96623,1.00003,0.000123637
-1.89434,1.00003,7.12778e-05,-1.96623,1.00003,0.000123637
-1.87585,1.00003,8.55506e-05,-1.96623,1.00003,0.000123637
-1.85625,1.00003,9.51779e-05,-1.96623,1.00003,0.000123637
-1.83564,1.00004,0.000100458,-1.96623,1.00003,0.000123637
-1.81407,1.00004,0.00010246,-1.96623,1.00003,0.000123637
-1.79163,1.00004,0.000102227,-1.96623,1.00003,0.000123637
-1.95578,1.00003,1.00047e-05,-1.95131,1.00002,7.48037e-05
-1.94254,1.00003,1.92081e-05,-1.95131,1.00002,7.48037e-05
-1.92785,1.00003,3.55582e-05,-1.95131,1.00002,7.48037e-05
-1.91181,1.00003,5.38369e-05,-1.95131,1.00002,7.48037e-05
-1.89451,1.00003,7.11167e-05,-1.95131,1.00002,7.48037e-05
-1.87604,1.00003,8.54291e-05,-1.95131,1.00002,7.48037e-05
-1.85645,1.00003,9.51049e-05,-1.95131,1.00002,7.48037e-05
-1.83585,1.00004,0.000100424,-1.95131,1.00002,7.48037e-05
-1.81429,1.00004,0.000102453,-1.95131,1.00002,7.48037e-05
-1.79186,1.00004,0.000102237,-1.95131,1.00002,7.48037e-05
-1.76863,1.00004,0.000100652,-1.95131,1.00002,7.48037e-05
-1.94254,1.00003,1.92081e-05,-1.94339,1.00002,7.77144e-05
-1.92785,1.00003,3.55582e-05,-1.94339,1.00002,7.77144e-05
-1.91181,1.00003,5.38369e-05,-1.94339,1.00002,7.77144e-05
-1.89451,1.00003,7.11167e-05,-1.94339,1.00002,7.77144e-05
-1.87604,1.00003,8.54291e-05,-1.94339,1.00002,7.77144e-05
-1.85645,1.00003,9.51049e-05,-1.94339,1.00002,7.77144e-05
-1.83585,1.00004,0.000100424,-1.94339,1.00002,7.77144e-05
-1.81429,1.00004,0.000102453,-1.94339,1.00002,7.77144e-05
-1.79186,1.00004,0.000102237,-1.94339,1.00002,7.77144e-05
