desired_x, desired_y, desired_yaw, current_x, current_y, current_yaw
-0.999872,2.52329e-05,0.000226218,-0.999996,2.45533e-05,0.000153027
-0.997594,3.23752e-05,0.00118342,-0.999996,2.45533e-05,0.000153027
-0.993409,6.05661e-05,0.00412816,-0.999996,2.45533e-05,0.000153027
-0.987392,0.000126511,0.010133,-0.999996,2.45533e-05,0.000153027
-0.979617,0.000246914,0.0192862,-0.999996,2.45533e-05,0.000153027
-0.970158,0.000438449,0.029816,-0.999996,2.45533e-05,0.000153027
-0.959087,0.000714207,0.0397494,-0.999996,2.45533e-05,0.000153027
-0.946473,0.00108052,0.0477075,-0.999996,2.45533e-05,0.000153027
-0.932383,0.00154295,0.0534348,-0.999996,2.45533e-05,0.000153027
-0.916884,0.00210708,0.0568023,-0.999996,2.45533e-05,0.000153027
-0.900045,0.00277846,0.0579192,-0.999996,2.45533e-05,0.000153027
-0.998044,2.89777e-05,0.00112976,-0.999469,2.48009e-05,0.000154563
-0.993801,3.0931e-05,0.00289275,-0.999469,2.48009e-05,0.000154563
-0.987671,1.81501e-05,0.00354819,-0.999469,2.48009e-05,0.000154563
-0.979747,-2.19587e-05,0.000856656,-0.999469,2.48009e-05,0.000154563
-0.970127,-0.000101989,-0.00616778,-0.999469,2.48009e-05,0.000154563
-0.958905,-0.000234526,-0.015769,-0.999469,2.48009e-05,0.000154563
-0.946171,-0.000429924,-0.0258322,-0.999469,2.48009e-05,0.000154563
-0.931999,-0.000693111,-0.0347766,-0.999469,2.48009e-05,0.000154563
-0.916463,-0.00102821,-0.0420749,-0.999469,2.48009e-05,0.000154563
-0.899634,-0.00143934,-0.0473272,-0.999469,2.48009e-05,0.000154563
-0.881585,-0.00193062,-0.0504664,-0.999469,2.48009e-05,0.000154563
-0.993905,3.31313e-05,0.00294523,-0.994082,2.90739e-05,0.0013664
-0.987742,2.67794e-05,0.00440124,-0.994082,2.90739e-05,0.0013664
-0.979762,1.01193e-05,0.0048528,-0.994082,2.90739e-05,0.0013664
-0.970052,-1.81217e-05,0.00371237,-0.994082,2.90739e-05,0.0013664
-0.958698,-5.92168e-05,0.000984519,-0.994082,2.90739e-05,0.0013664
-0.945789,-0.000114435,-0.0025835,-0.994082,2.90739e-05,0.0013664
-0.931407,-0.000184715,-0.00620724,-0.994082,2.90739e-05,0.0013664
-0.915628,-0.000270433,-0.00939762,-0.994082,2.90739e-05,0.0013664
-0.898528,-0.000371906,-0.0120051,-0.994082,2.90739e-05,0.0013664
-0.880182,-0.000489453,-0.0139053,-0.994082,2.90739e-05,0.0013664
-0.860666,-0.000623392,-0.0151381,-0.994082,2.90739e-05,0.0013664
-0.988226,3.12199e-05,0.00462009,-0.986231,3.45092e-05,0.000232592
-0.980274,4.32061e-05,0.00710167,-0.986231,3.45092e-05,0.000232592
-0.970571,9.76706e-05,0.0117817,-0.986231,3.45092e-05,0.000232592
-0.959189,0.000222001,0.0200449,-0.986231,3.45092e-05,0.000232592
-0.946202,0.000443583,0.0318646,-0.986231,3.45092e-05,0.000232592
-0.931681,0.000789787,0.044963,-0.986231,3.45092e-05,0.000232592
